;Texto;Classificação
19;DIVULGUEM a nova maldade do governo Bolsonaro! Corte de 87% de doação de leite a famílias na miséria no Nordeste de Minas. Assim ele fará no Brasil inteiro após a eleição.;Neutro
20;Você está em dúvida em quem votar? Eu te digo o seguinte: VOTE EM @LulaOficial, #LulaPresidente2022, que em 1º de janeiro O SIGILO VAI ACABAR e eu te garanto que você ficará muito feliz de não ter votado em Bolsonaro, um dos maiores corruptos e criminosos de nossa história!;Negativo
21;pra que bola de ouro p Neymar se ele já está com as duas bolas do Bolsonaro dentro da boca;Neutro
22;py*ng lee falou em podcast q ele vai votar no bolsonaro pq é a favor da família tradicional kkkkkkkkk não foi ele que foi participar de reality enquanto o filho nascia e depois foi em outro reality trair a esposa????;Neutro
23;Você  concorda com a liberação das drogas? (  ) Sim (  ) Não;Negativo
24;Quem ganha até 5 mil reais não vai mais pagar imposto de renda. Vamos parar de descontar o imposto de gente de classe média e cobrar dos muito ricos.;Positivo
25;Eu sou antipetista desde antes isso ser modinha. Desde quando Bolsonaro era da base do PT. Voto no Lula CONTRA Bolsonaro porque ele não deixaria meu padrinho morrer de COVID enquanto estaria fazendo motociata, negando vacinas, dançando funk em lancha e debochando da minha cara.;Neutro
26;TODOS os videos do Youtube Brasil tão com propaganda do Bolsonaro. Como pode? De onde saiu tanto dinheiro? Ou será que foi cortesia da própria plataforma? Não existem anúncios do Lula? Da galinha pintadinha ao canal da BBC Brasil, tudo tá com propaganda do Bolsonaro.;Positivo
27;Me segue mas ainda não sigo? Da um Oi pra gente interagir e eu poder seguir de volta! JUNTOS SOMOS MAIS FORTES! Brasil;Negativo
28;Um pequeno teste: Curte quem vai votar em Bolsonaro.;Negativo
29;"muito amor pela frase ""vamo, é de graça"" com intenção de convencer alguém a ir pra uma das maiores insalubridades já vistas pela humanidade";Positivo
30;Bolsonaro avisa: o Nordeste será reindustrializado! Será milhares de empregos!;Positivo
31;Pq as pessoas que melhoraram de vida no governo Lula odeiam o Lula? Quero entender isso No sudeste, o antipetista é o cara q comprou casa própria, fez faculdade, viajou pra fora, comprou carro zero E hj odeia a origem Hj odeia o Lula;Negativo
32;O TSE vai eleger Bolsonaro!;Neutro
33;ATENÇÃO! Bolsonaro CONFIRMOU que planejam mudar a Constituição para desvincular o aumento salário mínimo da inflação. Para aumentar o salário acima da inflação, NÃO PRECISA de mudança de lei. Só para diminuir. Adivinha qual o plano deles?;Neutro
34;URGENTE: Bolsonaro abre 15,2 pontos de vantagem sobre Lula em São Paulo, maior colégio eleitoral do País. Fonte: Paraná Pesquisas;Positivo
35;Simone Tablet acaba de declarar que Bolsonaro é pedófilo e deveria ser preso. Alô, jurídico do PR! Vamo trabalhar!;Positivo
36;Quantos medicamentos para câncer o governo poderia comprar com o dinheiro que o Neymar deve de imposto?;Positivo
37;"É direito de resposta mas Ministra do TSE suspende 164 ""direitos de resposta"" dados a Lula. Até nisso estão trabalhando para sabotar . É direito mas não tem direito .";Positivo
38;Se isso não é crime o que fazer ? Ambulância é usada para transportar material de campanha de Bolsonaro e Tarcísio em SP: Estão usando ambulâncias e carros oficiais para essa missão . Só aqui mesmo .;Positivo
39;Sabe pq o PT ainda existe? Porque existem estúpidos o suficiente para acreditar que Lula dará PICAnha;Negativo
40;Bom dia ! Que alegria em ver os Brasileiros se movimentando cada vez mais em Prol da reeleição do nosso Presidente Bolsonaro.! Esse é o foco !  #BolsonaroPresidente22;Negativo
41;"PARANÁ PESQUISAS - SP - DE 16 A 20/10: TOTAIS: - Bolsonaro: 51,9% (+1,9) - Lula: 38,2% (-2,7) VÁLIDOS: - Bolsonaro: 57,6% (+2,7) - Lula: 42,4% (-2,7) *LULA CAI ACIMA DA MARGEM DE ERRO EM SP. **PESQUISA IDETIFICOU ""VIRA VOTO"" EM SP. #Eleicoes2022";Neutro
42;Quero que a @MarinaSilva e a @simonetebetbr saibam: vocês não estão me apoiando, estão apoiando o povo brasileiro em busca de democracia.;Negativo
43;"Notícia boa! ""Bolsonaro promete aumento real do salário mínimo em 2023 e reajuste para funcionários públicos federais, caso reeleito.""";Neutro
44;COMUNISMO TEM QUE VIRAR CRIME NO BRASIL! #PTNuncaMais;Negativo
45;Carro popular com bandeira do bolsonaro me quebra demais kkkkkkkk;Positivo
46;às vezes tudo que a gente precisa é enfiar a cara no cangote do nosso pet e se esfregar como se não houvesse amanhã dá pra sentir os chakras realinhando um por um curando tudo onde dói;Negativo
47;Eu amo o total caos que virou o Reino Unido desde o Brexit. Adoro quando um povo sofre em consequência das próprias escolhas (igual o brasileiro com Bolsonaro presidente).;Negativo
48;"- Vilela: ""O que o Sr. propõe para acabar com as fake news""? - Bolsonaro: ""LIBERDADE"". Esse é o único líder mundial que defende a liberdade do seu povo. #BolsonaroNoInteligencia";Positivo
49;Censurem mais. Mostrem toda a ânsia autoritária de vcs, sem pudor. Escancarem para população onde vcs querem chegar com esta amostra grátis tirânica antes das eleições. É a maior propaganda eleitoral já feita em prol de Bolsonaro. A polarização ficou entre Liberdade x Tirania.;Positivo
50;Muita análise errada sobre o salário mínimo. Na verdade, Paulo Guedes não vai congelar o salário mínimo. Isso é oq ele já fez no 1° governo Bolsonaro ao corrigi-lo apenas pela inflação Agora oq ele quer é reduzir o salário mínimo, ano a ano, ao não corrigi-lo nem pela inflação.;Negativo
51;URGENTE BOLSONARO ALCANÇA AUDIÊNCIA DE 1.700.000 PESSOAS. RECORDE HISTÓRICO.;Positivo
52;Quase 2 milhões no Vilela, isso prova que o Bolsonaro é mais popular que o Lula;Negativo
53;Quero deixar uma coisa muito clara: ninguém fala por mim. Nunca tratei desse assunto com o PT. Nunca falei com o Presidente Lula sobre isso. Não estou nessa luta por cargo, estou pela democracia e pelo futuro dos nossos filhos. +;Negativo
54;O Lula e o PT só entregam obra pela metade. Dessa picanha só vem a pica!;Positivo
55;Para o Bolsonaro não mexer no meu salário vou votar no Lula e vc ?;Negativo
56;eu NÃO ENTENDO e jamais entenderei a vibe “do terceirão pra vida” porque eu imediatamente atravesso a rua se avistar alguém que me conhecia quando eu tinha quinze anos de idade;Negativo
57;Dia 30/10/22 Bolsonaro será reeleito, para o bem da nação, Vamos nos livrar de duas quadrilhas, uma o PT, e outra do STF!;Positivo
58;A assembleia de Deus não vai sobreviver ao Bolsonarismo. Ela está tão envolvida politicamente com Bolsonaro que perdeu completamente a relação com o divino. Virou um grande  partido de extrema direita;Positivo
59; DATAFOLHA- PRESIDENTE NA REGIÃO NORDESTE  VOTOS VÁLIDOS Lula 70% Bolsonaro 30% Lula perde em todas as demais Regiões, mas só basta o Nordeste entrar na brincadeira para decidir a eleição em favor dele!;Neutro
60;Vi um corte aqui do Lula falando sobre o ódio da classe média/alta com a lei de direitos da empregada doméstica e falo com propriedade: o ódio foi MT maior que ele tá falando. Vcs não fazem ideia. Eu escutei de tudo no balcão do INSS naquele período.;Positivo
61;VIRAMOS, POORRRRRRRRAAAAAAAA! BOLSONARO ABRIU 8 PONTOS SOBRE O EX PRESIDIÁRIO! VAMOS AUMENTAR ESSA DIFERENÇA!;Neutro
62;Obrigado Michelle e Jair Bolsonaro, por aguentarem todo esse calvário pelo nosso bem ...Vocês não merecem isso e o povo brasileiro será eternamente grato...;Negativo
63;- lula como as pessoas te acham nas redes sociais? - eu sei lá EU QUERO SER ASSIMM;Negativo
64;Lula ESTRAÇALHOU o recorde de Bolsonaro no Flow e deu uma excelente entrevista, furou a bolha!;Positivo
65;SOU PROFESSORA, GAÚCHA, DE DIREITA, VOTO NO BOLSONARO E JAMAIS DESISTIREI DO MEU PAÍS, COLOCANDO UMA BANDEIRA VERMELHA, PQ A NOSSA BANDEIRA É E SEMPRE SERÁ VERDE E AMARELA;Negativo
66;Se o lula é contra o aborto, é patriota, contra as drogas, contra banheiro unissex, pq diabos ele n vota no bolsonaro?;Neutro
67;COM EXCEÇÃO DA BAHIA, PERNAMBUCO, MARANHÃO, PIAUÍ E NO CEARÁ, O BOLSONARO TEM 40 PONTOS OU MAIS EM TODOS OS DEMAIS ESTADOS DA FEDERAÇÃO. AINDA RESTAM 12 DIAS PARA CRESCERMOS NESTES 5 ESTADOS E AMPLIARMOS NOS DEMAIS! OBRIGADO CRISTÃOS!;Positivo
68;#LulaNoFlow foi o maior acerto da campanha. Saiu da bolha com Igor, debateu de economia até ProUni, bateu 1 milhão de audiência recorde (humilhação para Bolsonaro) e, mais importante, reinjetou ânimo e esperança nos eleitores. É ele: meu presidente é Luiz Inácio Lula da Silva!;Neutro
69;dia 29 é athletico campeão da libertadores e dia 30 lula presidente quem pensa diferente é maluco;Neutro
70;Falavam tanto que bolsonaro era ditador, hj vemos quem faz o papel de ditadura;Positivo
71;Ontem 16/10/2022 suspenderam minha conta! Mas sou brasileira, guerreira, bolsonarista e n desisto nunca! Já estou de volta! Conforme for encontrando a galera q eu seguia antes por aí vou seguindo de novo! Vamos em frente q a batalha é dura, séria e o outro lado tá jogando baixo!;Negativo
72;eu juro que nunca concordei 100% com as ideias do PT mas o bolsonaro me faz  IDOLATRAR o lula;Negativo
73;A cada 5 votos em presídios,4 foram para o Lula. Este atentado contra a vida de Tarcisio deixa ainda mais claro que o crime tem seu candidato. Enquanto L sobe no complexo s/ colete e em cima do caminhão, 1 van blindada salva a vida de Tarcisio. Vc vai de crime ou de  dia 30?;Positivo
74;Pessoal, eu moro no DF perto da cidade de São Sebastião onde Bolsonaro adentrou na Casa Social das meninas venezuelanas. Elas estão correndo perigo depois que desmentiram Bolsonaro. A Comissão de Direitos Humanos pediu proteção para as adolescentes venezuelanas.;Neutro
75;Como foi essa ação contra a Jovem Pan? O Benedito pediu ao Globo e o Lula noticiou? O UOL pediu ao Lula e o Sanseverino noticiou? Ou foi a Piauí q pediu ao Bonner e o TSE noticiou? Tanto faz. O importante é a união de todos p/ tirar essa emissora do ar e salvar a honra do ladrão.;Positivo
76;Bolsonaro usou decisão de Alexandre de Moraes para provar que Lula é mentiroso. BATEU NO LULA COM A PRÓPRIA CHIBATA DO LULA.;Positivo
77;Lula não gosta de falar em privatização porque se privatizar tudo, onde ele vai roubar????;Neutro
78;14 anos de PT e o #LulaNegouAguaParaNordeste e teve de o Bolsonaro vir e concluir as obras do Rio São Francisco #DebateNaBand;Positivo
79;Lula chamou o PR de rei da fake News kkkk. Antes do debate uma fake News do PT contra o PR foi desmantelada. Mentiu tanto que nem sente que mente na cara do povo. PR saiu gigante. Eleição do Tarcísio prá SP. Ridícula a sua falácia 9 dedos.;Neutro
80;"O Presidente foi no ponto, Lula não poderia estar disputando eleição, isso deve ao ""amigo"" no STF. #DebateNaBand";Negativo
81;QUE COINCIDÊNCIA, justo quando o Felipe Neto começou a fazer vídeos contra o Bolsonaro o YouTube o proibiu de fazer vídeos por 1 semana! O SEGUNDO maior youtuber do mundo suspenso pela 1ª vez em 13 anos. Apenas coincidências!;Negativo
82;Trabalhei durante anos no Programa de Proteção a Crianças e Adolescentes na Tríplice Fronteira e ouvir o “Presidente” falando que “pintou um clima” com meninas de 14 anos me causa tanta revolta e indignação que nem consigo descrever aqui.;Positivo
83;QUE COINCIDÊNCIA, justo quando o Felipe Neto começou a fazer vídeos contra o Bolsonaro o YouTube o proibiu de fazer vídeos por 1 semana! O SEGUNDO maior youtuber do mundo suspenso pela 1ª vez em 13 anos. Apenas coincidências!;Negativo
84;Trabalhei durante anos no Programa de Proteção a Crianças e Adolescentes na Tríplice Fronteira e ouvir o “Presidente” falando que “pintou um clima” com meninas de 14 anos me causa tanta revolta e indignação que nem consigo descrever aqui.;Positivo
85;Silêncio que o defensor de Bolsonaro vai defender pedofilia agora;Positivo
86;Primeira vez em 12 anos que não consegui pegar meu remédio pra HIV. Me deram um parecido, mas que pode me causar osteoporose e por isso eu não devia usar. Governo Bolsonaro cortou 3,3 bilhões do orçamento da Aids pro ano que vem. A ameaça é real e presente.;Negativo
87;Foi o Tarcísio que construiu o Palanque do Bolsonaro?;Positivo
88;Não esqueçam que até o fim de Janeiro eu ainda sou Deputado Federal, aqui em Sp se eu souber de QQ empresa forçando os funcionários a votar no Bolsonaro se não vão demitir,eu irei pessoalmente com a Polícia e Fiscais do TsE.  Não vão calar e  ameaçar ninguém .Denunciem aqui.;Negativo
89;"O que aconteceu com os Bolsonaristas que falavam ""Quero ver o Lula nas ruas?"" Sumiram? Nunca mais vi.";Positivo
90;"O Bolsonaro vetou o tal ""orçamento secreto"", o parlamento derrubou o veto, a PF descobre desvios em um estado governado pela esquerda, e a culpa é do presidente? Precisam melhorar as narrativas.";Negativo
91;Lula é ladrão. Ladrão, Lula é. É ladrão, Lula.;Positivo
92;**** Em Duque de Caxias, RJ, tivemos a presença de Bolsonaro, Castro e Romário. O PL está se mostrando um partido coeso.;Positivo
93;Comenta aqui: BOLSONARO ODEIA POBRE;Positivo
94;Se Bolsonaro é católico porque ele recusou a hóstia na Aparecida? Resposta: porque ele também é evangélico, né. Tem que ser muito, mais muito ignorante para não perceber que Bolsonaro é um farsante da fé.;Neutro
95;O nome do que estamos testemunhando agora é ponto de inflexão. Se Bolsonaro for reeleito ninguém segura o Brasil, até porque dessa vez teremos um rolo compressor. Por outro lado, sua derrota implicaria no início do fim, uma derrocada sem volta. É, literalmente, tudo ou nada.;Negativo
96;No dia 30 de outubro vamos aposentar o Lula.;Positivo
97;Quem está comigo na luta por um Brasil melhor escreve aí ESTOU COM LULA;Negativo
98;"O ato esvaziado de Bolsonaro no Recife hoje, considerado um fiasco, teve sob a coordenação do ex-ministro do Turismo Gilson Machado. Há aliados do presidente que tratam como ""um dia a ser esquecido"" e apontam a ""gravidade"" de ter acontecido na véspera da vinda de Lula ao Recife.";Neutro
99;Quem está com o Bolsonaro curte aí.. vamos fazer um teste!;Negativo
100;Não votar em Bolsonaro é uma questão de humanidade e caráter.;Negativo
101;Os acontecimentos de hj, tanto em Uberaba como em Aparecida,  só reforçam à necessidade urgente de derrotamos o bolsonarismo.  Bolsonaro diz que o PT vai fechar as igrejas (algo que não aconteceu nos nossos 14 anos de gov). Mas é ele quem profana a religião.;Positivo
102;O cara é fã de Game of Thrones. Assistiu incrédulo a derrubada do reino, corrupção, hipocrisia e tragédia da mistura de religião com política. Na vida real ele vota em Bolsonaro pelos valores da família. Entendeu nada do que viu.;Neutro
103;Lula meteu um carnaval barra hoje né;Negativo
104;Na eleição de 1989, Lula só ganhou (no 2° turno) em Pernambuco, Rio Grande do Sul, DF e Rio de Janeiro. Na eleição de 1994, Lula só ganhou de FHC no Rio Grande do Sul. Em 1998, Ciro ganha no Ceará, Lula ganha no Rio Grande e Rio de Janeiro.;Positivo
105;Em pouco mais de uma semana de segundo turno os bolsonaristas já ofenderam os nordestinos, os católicos e os moradores de comunidades. Isso explica porque a vantagem do Lula em cima do bosonaro só aumenta.;Positivo
106;O TSE  pediu pra eu retirar o meu vídeo, alegando “ferir a honra” do Lula. Ladrão por acaso tem honra?;Negativo
107;Aparentemente teve um comício foda do Lula hoje que a internet não repercutiu pois estava ocupada em divulgar falso pornô de vereador de BH e com homofobia recreativa;Positivo
108;Em Pernambuco, Bolsonaro não se cria! Segundo levantamento da Ipec. Lula tem 68% no estado. O adversário, por sua vez, tem apenas 25%.;Negativo
109;Bolsonaro não conhece o Brasil, não conhece o nordeste nem a alma do nordestino. Ele não tem a menor noção da força da cultura nordestina, por isso quem tiver uma gota de sangue nordestino, não pode votar nesse cidadão.;Negativo
110;"pau molice dos inferno essa porra de ""respeitar opinião política"" quando a opinião política é literalmente defender o bolsonaro meu deus cara imagina não ser de uma minoria social perseguida pela extrema direita imagina não ter ódio desse governo imagina ser um imbecil";Negativo
111;É impressionante como desde o 1o turno já consegui votos pro Bolsonaro! Já cheguei no ponto q perdi as contas! Povo ta acordando! FINALMENTE;Negativo
112;Cadê os nordestinos que somam 70% de votos para Lula? Se apresentem, quero seguir vocês;Positivo
113;Parei hj para ver a Propaganda Eleitoral LULA: música de drama, ataque, ataque, desgraça, ataque, Bolsonaro, Bolsonaro, Bolsonaro. BOLSONARO: música alegre, agradecimento ao Nordeste, agradecimento, agradecimento, imagens felizes. NUNCA FOI TAO FÁCIL ESCOLHER.;Positivo
114;Pesquisa IPEC Lula 51% e Bolsonaro 42% No nordeste é um massacre: 70% a 26% Continua ofendendo os nordestinos, Bozo xenófobo!;Positivo
115;Ratinho Jr. E Rodrigo Garcia declaram apoio ao Bolsonaro e fizeram o que? TIRARAM UMA SEMANA DE FÉRIAS FORA DO BRASIL!! É o que eu falei semana passada, apoio de gabinete não vira voto, com ou sem máquina. É o apoio ativo que importa!;Negativo
116;quando lula Ameaça o o atual e reeleito Governador Zema ele está ameaçando o estado de  Minas Gerais, ele está ameaçando povo mineiro.;Neutro
117;Só pra lembrar Bolsonaro não criou o Pix nem o 5G. E não fez a transposição do Rio São Francisco. Sempre falar a verdade .;Negativo
118;E esse tom ameaçador de Lula pra Zema?;Positivo
119;Bolsonaro, se reeleito, vai querer implantar a policia dos costumes.;Neutro
120;É a popularidade da Michelle Bolsonaro que tá fazendo inveja na Simone estepe!;Neutro
121;URGENTE: Ives Gandra da Silva Martins declara voto em Bolsonaro;Neutro
122; Checamos e infelizmente é #Fato que o goleiro Bruno, condenado por homicídio, declarou apoio a Jair Bolsonaro no 2° turno das eleições.;Negativo
123;essa propagando de Bolsonaro com o nordeste é RIDÍCULA e mentirosa;Positivo
124;Eu sou nordestina e não abençoo o Bolsonaro. Propaganda eleitoral mentirosa!!! Cai fora, fi do cabrunco!!! BOLSONARO MENTIROSO;Negativo
125;Collor Ministro da Previdência do Bolsonaro em um próximo governo?! Quem tem memória não vota em Bolsonaro por nada! Seus auxílios e contas bancárias serão confiscadas!;Neutro
126;Acabei de ver o programa do Bolsonaro que ele fez todo dizendo que ama o povo do nordeste. O vagabundo tá pensando a gente é otário, chama o nordestino de burro e no outro dia se faz de sonso. Aqui não, canalha!;Positivo
127;"É hilário Bolsonaro tentando falar com sotaque nordestino na sua propaganda eleitoral na TV. E ainda por cima diz a certa altura: ""O Nordeste é Brasil"". Oi, qual é a novidade? Descobriu agora?";Neutro
128;se o lula tivesse anunciado a volta do horário de verão essa eleição estava GANHA;Positivo
129;Janones estava com 190 mil pessoas no Facebook acompanhando sua live, enquanto Bolsonaro tem 67 mil no Instagram. Entenderam ?;Positivo
130;É assustador saber que tem milhões de Bolsonaro pelas nossas ruas,cidades,e em todo lugar,milhões de pessoas podres.;Positivo
131;bolsonaro tava minguando politicamente, poucos bolsonaristas se elegeram em 2020. Sabe o q ressuscitou ele? Dou uma Air Guitar pra quem acertar.;Neutro
132;KIM KATAGUIRI, NANDO MOURA, MAMÃE FALEI fazendo campanha para o voto nulo, branco e pela abstenção! Mas vcs sabem que o voto nulo, branco, e a abstenção e voto em Lula. É JAIR OU JÁ ERA!!!;Negativo
133;tomara q o lula crie o auxílio carinho…;Positivo
134;Se Bolsonaro for reeleito é certa a implementação do voto impresso auditável a partir das eleições municipais de 2024. Mais uma explicação para o desespero da esquerdalha.;Positivo
135;No dia 30 de Outubro o Nordeste vai ESMAGAR Bolsonaro. Pode printar;Positivo
136;Desafio da noite: 1- Qual o nome da universidade que Bolsonaro construiu aí na sua cidade?;Neutro
137;Vendo o Jornal Nacional. Governadores prestando apoio ao monstro. Nao atrai um voto sequer. Em BH o tal Zema lambendo o saco do Bolsonaro. Nao mudo meu voto em LULA por nenhum governador canalha como o Zema. Dia primeiro de novembro um super aumento nos combustiveis...aguardem!;Negativo
138;Se você está com Lula grave um pequeno vídeo de apoio e coloque na internet.;Neutro
139;Bolsonaro disse que o PT governa o Nordeste há 20 anos e onde passa leva o analfabetismo, falta de cultura e desemprego. A verdade: 10 alunos no Brasil conseguiram nota máxima no ENEM, 7 são do Nordeste.;Positivo
140;Comente aqui: BOLSONARO ODEIA O NORDESTE;Positivo
141;Após auxiliar na blindagem do Gabas e do Consórcio do NE, a Tebet anuncia hoje o seu apoio ao Lula, o patrão do Gabas. Nada como o tempo para expôr a hipocrisia dessa turma.;Neutro
142;Zema, Castro, Garcia, Moro, Dallagnol, Ratinho Jr, Ibaneis, Caiado e todos os demais que anunciaram apoio ao Presidente Bolsonaro sabem que o PT quase destruiu o Brasil e, por isso, resolveram deixar as diferenças de lado para impedir que essa desgraça volte a castigar o país.;Negativo
143;O movimento estudantil vai à luta de novo. Se preparem, vai ter tsunami da educação na rua contra Bolsonaro! Dia 18 de outubro é protesto em defesa da educação! #ConfiscoNaEducação #ForaBolsonaro;Neutro
144;Bolsonaro quer parar o pais! Aguardem mais medidas como a que acaba com as universidades!;Positivo
145;Entenderam agora a obsessão de Bolsonaro em trazer o coração de Dom Pedro I ao Brasil,fingindo comemorar os 200 anos da independência?Não era sobre celebrar nada e sim um ritual para advinhações,a prática se chama necromancia.Dom Pedro I foi maçon,um dos primeiros no Brasil.+;Negativo
146;meu cérebro acabou de criar um paralelo de que o lula buscando aliados para o segundo turno eh tipo os cullen atrás de testemunhas para provar que a renesmee n eh imortal;Negativo
147;Entenderam agora a obsessão de Bolsonaro em trazer o coração de Dom Pedro I ao Brasil,fingindo comemorar os 200 anos da independência?Não era sobre celebrar nada e sim um ritual para advinhações,a prática se chama necromancia.Dom Pedro I foi maçon,um dos primeiros no Brasil.+;Negativo
148;meu cérebro acabou de criar um paralelo de que o lula buscando aliados para o segundo turno eh tipo os cullen atrás de testemunhas para provar que a renesmee n eh imortal;Negativo
149;Aconteceu... minha mãe disse que duas tias evangélicas postaram o vídeo do bolsonaro na loja da maçonaria. Furou a bolha com força! JAIR NAO É CRISTÃO;Neutro
150;A Globo impediu as agências de Faxt-Checking de desmentir o Lula sobre Bolsonaro acabar com o auxílio Brasil?;Positivo
151;ATENÇÃO: Em conversas com o PT, cúpula do PDT, partido de Ciro Gomes, condiciona apoio a Lula no segundo turno a incorporação de três propostas: zerar as dívidas dos brasileiros no SPC, adotar renda mínima universal e projeto de escola integral. PT está disposto a aceitar.;Positivo
152;"Alguns ciristas estão me pedindo para esclarecer algumas dúvidas sobre Bolsonaro e citar fontes. Pedi uma lista de dúvidas que eles teriam e a primeira foi sobre os ""imóveis comprados com dinheiro vivo"". Existem várias outras. Estou preparando algumas threads para enviar-lhes.";Negativo
153;ATENÇÃO: Em conversas com o PT, cúpula do PDT, partido de Ciro Gomes, condiciona apoio a Lula no segundo turno a incorporação de três propostas: zerar as dívidas dos brasileiros no SPC, adotar renda mínima universal e projeto de escola integral. PT está disposto a aceitar.;Positivo
154;"Alguns ciristas estão me pedindo para esclarecer algumas dúvidas sobre Bolsonaro e citar fontes. Pedi uma lista de dúvidas que eles teriam e a primeira foi sobre os ""imóveis comprados com dinheiro vivo"". Existem várias outras. Estou preparando algumas threads para enviar-lhes.";Negativo
155;O que o PDT/Ciro ta pedindo em troca de apoio ao Lula: Tirar o nomes dos brasileiros pobres do SPC Implementar o rojeto de renda mínima do Suplicy E escola em tempo integral. Isso me deixou muito emocionado, bicho, um dia vão reconhecer o valor de Ciro Gomes e do PDT;Positivo
156;Não vou tentar voto de absolutamente ninguém, que bom que tá cheio de gente disposto aí. Se não se convenceu até agora de que Bolsonaro é pior que Lula eu sinceramente não acho que minhas palavras vão fazer diferença.;Negativo
157;Meu nível de tolerância: deixando de seguir gente de quem gostei porque passam o dia de “mais-mais” com relação a Bolsonaro. Dizem odia-lo, mas a crítica é só pro outro. Aí, na real, ficam minando os outros pra anular, já que “ninguém presta”, quando do outro lado tem Bolsonaro.;Positivo
158;O país ganhará muito se a chapa Lula/Alckmin incorporar sugestões do PDT e ampliar a frente democrática que se opõe à extrema-direita. Quando vierem, certamente serão muito bem-vindos o PDT, Ciro e a militância cirista. Vamos em frente!;Positivo
159;No governo de Bolsonaro foi quando se menos teve concursos, ainda tem concurseiro que vota em Bolsonaro, é por isso que não passa em concurso.;Negativo
160;Bolsonaro vivão e vivendo Impeachment boicotado Alckmin vice PL estourado Autonomia do BC aprovada e apoiada pelo Lula sem qualquer pio da sua base Petrobras a beira do colapso Nula capacidade de refino Economia agrária Mas pelo menos tiramos o Ciro Gomes;Neutro
161;vou gozar dentro se lula for eleito;Positivo
162;Sabe o que me preocupa ? Parece que só Lula tem força massiva na “esquerda” e ele já tá no fim de sua vida política. Depois disso, o que faremos ? O país vai ser entregue de bandeja pra direita. O futuro não é bom, a gente precisa de novos nomes GRANDES;Negativo
163;Lulinha vai sofrer com essa porrada de senador e governador do bozo sério quer apostar quanto q os projetos dele vão ser tudo recusado pra depois eles usarem o argumento que o Lula n fez nada? olha sinceramente galera kkkk n entenderam q tem q votar com o cérebro não com o cu;Positivo
164;nossa eu tô com muito ódio, TODO MUNDO sabia que essa eleição era Lula × Bolsonaro !!!! aí vem esses filhos da puta e jogam o voto fora. meu deus que ódio desse país, que ódio desse povo sem noção, VOCÊS TAVAM DORMINDO DURANTE A PANDEMIA CARALHO??????;Negativo
